GSRN,Capacity_kw,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled
570714700000009426,150.0000,36.4911,41.6652,1.1418,0.1570,0.0007,14.1051,-0.6056,-0.7020,-0.1081,0.3147,-0.6575
570714700000009556,225.0000,41.3892,48.8941,1.1813,0.1260,0.0008,16.8576,-0.5889,-0.6744,-0.0943,0.3192,-0.6291
570714700000009587,500.0000,80.8680,103.7719,1.2832,0.1439,-0.0032,33.1323,-0.4543,-0.4649,-0.0586,0.2179,-0.4614
570714700000009648,500.0000,70.1501,98.4500,1.4034,0.1927,-0.0088,32.6986,-0.4908,-0.4852,-0.0166,0.0804,-0.4658
570714700000009655,500.0000,66.8388,97.0534,1.4521,0.1924,-0.0004,33.0995,-0.5021,-0.4905,0.0005,0.2875,-0.4617
570714700000009662,500.0000,58.9384,90.5209,1.5359,0.2342,-0.0128,32.1291,-0.5291,-0.5155,0.0298,-0.0189,-0.4717
570714700000009785,500.0000,80.7260,109.1391,1.3520,0.1718,-0.0166,35.9601,-0.4548,-0.4444,-0.0346,-0.1146,-0.4322
570714700000009808,500.0000,113.6264,127.4825,1.1219,0.1501,-0.0038,37.9704,-0.3425,-0.3743,-0.1150,0.2047,-0.4115
570714700000009914,500.0000,118.5625,124.7519,1.0522,0.1124,-0.0163,39.3614,-0.3257,-0.3847,-0.1394,-0.1068,-0.3972
570714700000009938,550.0000,66.7156,95.3147,1.4287,0.1855,-0.0130,32.3770,-0.5025,-0.4972,-0.0077,-0.0236,-0.4691
570714700000009945,550.0000,63.6479,93.2225,1.4647,0.2174,-0.0059,31.1491,-0.5130,-0.5051,0.0049,0.1520,-0.4818
570714700000009952,150.0000,29.1432,37.3518,1.2817,0.2067,-0.0052,12.2233,-0.6307,-0.7185,-0.0592,0.1680,-0.6769
570714700000010163,550.0000,130.4648,137.3941,1.0531,0.1018,-0.0095,38.8299,-0.2851,-0.3365,-0.1391,0.0627,-0.4026
570714700000010170,550.0000,142.0408,147.0627,1.0354,0.1024,-0.0081,42.1949,-0.2456,-0.2995,-0.1453,0.0966,-0.3680
570714700000010194,500.0000,67.1423,95.2530,1.4187,0.2750,-0.0031,30.0538,-0.5011,-0.4974,-0.0112,0.2226,-0.4931
570714700000010200,500.0000,66.9497,96.2079,1.4370,0.2744,-0.0019,30.2883,-0.5017,-0.4937,-0.0048,0.2513,-0.4907
570714700000010217,500.0000,69.0025,96.3561,1.3964,0.2370,-0.0032,30.3818,-0.4947,-0.4932,-0.0190,0.2186,-0.4897
570714700000010590,600.0000,57.3256,112.1699,1.9567,0.2207,-0.0195,41.8741,-0.5346,-0.4328,0.1770,-0.1865,-0.3713
570714700000010606,600.0000,109.1716,129.1308,1.1828,0.0713,-0.0246,42.7883,-0.3577,-0.3680,-0.0937,-0.3121,-0.3618
570714700000010613,600.0000,108.9639,130.2978,1.1958,0.0832,-0.0234,41.5987,-0.3584,-0.3636,-0.0892,-0.2819,-0.3741
570714700000010620,600.0000,113.5136,134.1507,1.1818,0.0714,-0.0237,44.4651,-0.3429,-0.3488,-0.0941,-0.2912,-0.3446
570714700000010637,600.0000,110.4488,135.4085,1.2260,0.1593,-0.0217,44.0571,-0.3534,-0.3440,-0.0786,-0.2415,-0.3488
570714700000010644,600.0000,108.3996,137.4052,1.2676,0.1747,-0.0203,44.3989,-0.3604,-0.3364,-0.0641,-0.2051,-0.3452
570714700000010750,300.0000,39.6558,59.8135,1.5083,0.2508,-0.0035,20.8544,-0.5948,-0.6327,0.0201,0.2118,-0.5879
570714700000010767,300.0000,40.4616,59.9353,1.4813,0.2335,-0.0032,19.6786,-0.5921,-0.6323,0.0107,0.2186,-0.6000
570714700000010774,600.0000,153.0306,154.0936,1.0069,0.0544,-0.0347,50.9471,-0.2081,-0.2727,-0.1553,-0.5645,-0.2777
570714700000010804,600.0000,137.1217,144.3680,1.0528,0.0679,-0.0293,46.6592,-0.2624,-0.3098,-0.1392,-0.4293,-0.3219
